LastName,FirstName & MI,DOB,ID,GPA
Rocha, Cara I.,1976-03-29,8129,2.7
Hamilton, Mufutau N.,1979-06-05,3385,3.6
Castro, Chiquita A.,1977-01-19,1012,3.7
Juarez, Edward Y.,1987-06-22,8615,2.5
Erickson, Norman H.,1974-02-07,8180,3.7
Downs, Moana C.,1978-11-21,1857,3.4
Madden, Dorian S.,1979-12-26,3172,3.9
Barrera, Joan J.,1989-11-11,5404,2.5
Walker, Fitzgerald K.,1976-05-11,7782,2.6
Luna, Maxine W.,1987-03-03,5526,2.8
Atkins, Lars Y.,1972-12-22,7592,2.3
Jones, Griffin H.,1987-01-14,7201,3.9
Booker, Zeus N.,1974-08-22,6240,3.6
Mcknight, Lavinia X.,1989-04-19,4915,2.8
Benson, Vivian Z.,1989-03-31,7662,3.2
Decker, Mechelle K.,1974-11-15,7922,2.4
Sparks, Blaze I.,1979-09-13,2903,2.6
Tucker, Flynn F.,1989-10-30,4625,2.5
Woods, Vivian E.,1972-09-18,6550,3.9
Callahan, Marsden O.,1976-11-03,6896,2.4
Conley, Whitney Q.,1979-11-21,6992,2.3
Rivera, Andrew C.,1988-09-15,3028,3.6
Gibbs, Fatima Z.,1974-01-12,2254,2.4
Collins, Erica T.,1980-10-13,1344,3.6
Mcgee, Sandra O.,1986-02-03,3896,2.9
Campos, Velma H.,1987-01-08,9343,3.1
Vasquez, Rose B.,1983-09-27,7704,2.6
Martinez, Kiayada V.,1981-03-06,4719,2.9
Holder, Martha T.,1987-03-02,7706,3.6
Franco, Noel D.,1986-02-13,7345,2.7
Rutledge, Melinda G.,1987-04-14,2682,3.7
Mercado, Jaden J.,1975-11-10,9680,2.5
Frederick, Scarlett K.,1978-04-06,2959,2
Herrera, Kuame E.,1987-11-13,4346,3.4
Reilly, Noble R.,1986-01-13,2659,2.4
Hewitt, Jack S.,1970-07-02,6563,3
Zamora, Keane F.,1973-11-15,7585,2.7
Sutton, Fay J.,1986-04-06,9513,3.8
Osborn, Megan K.,1981-01-28,4746,3.5
Contreras, Tanner F.,1985-06-20,8172,3.3
Figueroa, Logan T.,1981-05-26,4171,2
Perkins, Geoffrey U.,1972-04-04,3815,2
Briggs, Laurel V.,1981-05-04,5742,3.4
Herman, Genevieve V.,1973-08-23,4482,2.4
Phelps, Sage R.,1988-11-04,5420,3.7
Chapman, Thomas F.,1978-04-03,1783,3.1
Palmer, Jaime Q.,1985-05-02,2502,4
Todd, Edward R.,1988-09-25,1007,3.5
Pollard, Judah X.,1987-04-18,9458,2.9
Frank, Kelsie Z.,1982-10-13,3726,2.6
Clarke, Donna D.,1989-02-19,4317,2.6
Kinney, Kristen I.,1980-03-23,4852,3.9
Rice, Zenia W.,1980-06-19,8695,3.2
Lewis, Trevor V.,1981-05-12,5778,2.9
Long, Regina Q.,1970-12-31,2322,3.7
Cooke, Ryan E.,1977-03-08,2869,3.3
Woodard, Rajah J.,1982-04-17,3717,2.7
Lang, Adele Z.,1974-08-12,8164,2.3
Obrien, Damon G.,1984-01-17,1799,3.2
Blair, Chadwick B.,1973-04-04,5353,3.4
Knapp, Breanna Q.,1979-03-30,5568,4
Byrd, Garth B.,1971-03-25,7737,3.1
Landry, Raphael W.,1988-07-08,6587,3.4
Robles, Tanya L.,1983-11-29,9757,3.4
Conley, Tate M.,1981-08-06,6402,3.3
Shields, Celeste S.,1973-08-29,1870,2.6
Roth, Tobias I.,1980-11-19,9926,3.8
Garrett, Evangeline U.,1971-05-08,6048,2.1
Jarvis, Kimberly F.,1979-09-23,2230,2.9
Henry, Aphrodite T.,1973-05-11,7848,2.2
Casey, Quintessa F.,1984-09-26,8391,3.1
Marks, Tobias Y.,1986-08-04,9386,3.3
Deleon, Alika P.,1984-02-10,5250,3.5
Goodman, Kathleen A.,1982-11-15,7560,3.2
Blevins, Thor W.,1973-11-03,5014,3.6
Cain, Chadwick A.,1977-10-20,9914,3.3
Benson, Evan T.,1978-01-02,1222,2.5
Cabrera, Ross G.,1975-11-04,7987,2.2
Chan, Emmanuel D.,1971-03-17,2813,2.4
Martinez, Audrey Z.,1973-02-26,9887,3.8
Clarke, Sopoline M.,1985-02-25,8143,3.6
Knowles, Carolyn P.,1970-12-20,2860,3
Wallace, Clio Y.,1983-05-31,5197,3.5
Snow, Emi K.,1980-06-01,8794,2.8
Rocha, Martin B.,1978-02-22,5322,3.2
Dean, Summer W.,1975-10-21,4936,2.5
Burke, Cynthia E.,1971-06-10,5376,4
Leon, Ishmael N.,1979-05-20,2127,3.1
Kline, Ariana L.,1977-08-25,5466,3.7
Pate, Rhiannon S.,1978-02-08,1983,4
Foster, Brandon U.,1987-02-09,6985,2.8
William, Carla S.,1970-11-09,8777,2.2
Potts, Carly N.,1971-05-01,7040,3.3
Delacruz, Clare R.,1974-01-10,5627,2.5
Rivers, Gemma N.,1976-04-27,7963,3.6
Velazquez, Lilah K.,1988-02-21,5226,3.8
Dyer, Paula P.,1977-10-24,5183,3.7
Beard, Iona T.,1974-07-13,2939,2.3
Wilder, Regan X.,1983-09-16,6711,3.4
Wilkinson, Stacey W.,1983-01-11,7659,3.5
Ochoa, Rhea V.,1987-02-01,5756,3.3
Rush, Brenda A.,1978-06-27,1119,2.7
Downs, Judah I.,1973-12-12,3954,3.9
Lang, Brock E.,1972-05-22,5675,3.4
Beard, James H.,1986-09-25,3116,3.7
Thomas, Maryam S.,1974-05-13,4509,2.9
Clay, Kylynn S.,1976-08-29,8736,2.3
Molina, Baxter J.,1986-02-25,8219,2.9
Franks, Jonas H.,1973-12-04,2141,2.9
Lester, Aquila D.,1980-01-18,2396,2.9
Pennington, Yoshi R.,1979-02-16,2146,2.6
Monroe, Conan J.,1988-01-28,5478,2.4
Boyle, Brent J.,1982-06-10,5615,3.4
Richmond, Shay O.,1979-08-03,3999,2.6
Foster, Brianna J.,1980-09-14,8749,2.2
Mccormick, Sasha L.,1989-12-23,7324,2.5
Tyler, Nolan O.,1972-07-24,5938,3
Richmond, Odessa Y.,1970-07-12,6079,3.9
Hooper, Iona T.,1980-03-18,6947,2.2
Bush, Timothy K.,1971-04-09,9617,3
Webb, Conan Z.,1973-05-30,8836,3.6
Guy, Angela U.,1979-02-03,1175,3.1
Lawson, Quamar C.,1988-12-15,2604,3.3
Carpenter, Tiger G.,1972-01-10,4927,3.7
Perez, Yvette W.,1970-11-18,4940,3.1
Taylor, Arsenio P.,1975-01-28,3860,2
Hester, Judah B.,1972-08-20,4664,2.7
Grant, Aurelia L.,1988-02-18,8819,2.2
Cochran, Kenyon J.,1971-08-13,7843,2.4
Rivas, Inez O.,1972-11-21,1941,2.1
Wilcox, Anne C.,1985-05-26,6252,2.2
Hunt, Leilani H.,1977-05-04,1058,2.5
Burns, Elijah L.,1987-04-01,7177,3.2
Ochoa, Benjamin V.,1988-03-05,6375,3.7
Hodge, Chaim H.,1973-08-16,6569,2.4
Vasquez, Evan S.,1981-04-02,4491,2.6
Hammond, Jayme U.,1982-10-02,1944,3.9
Pate, Alan K.,1983-04-25,3510,2.7
Sherman, Paul D.,1980-08-23,5256,3.2
Durham, Xenos F.,1971-02-13,8578,2.3
Farrell, Gannon M.,1985-01-16,8844,3.9
Brady, Steel O.,1985-01-31,6637,2.9
Ratliff, Nina P.,1980-10-27,5765,3.2
Horton, Sybil I.,1972-06-04,4288,3.7
Callahan, Clayton K.,1985-05-03,9012,2.4
Mccoy, Rebecca J.,1987-06-17,6463,2.1
Wood, Xavier C.,1989-02-04,9751,3.7
Francis, Pandora E.,1986-11-18,4882,3.9
Blanchard, Rhoda L.,1986-11-10,1428,3.9
Hull, Nigel S.,1985-03-13,7749,2.6
Blake, April I.,1978-03-28,1217,3.3
Morgan, Dominic F.,1971-02-12,9574,3.5
Mcleod, Faith H.,1970-02-03,1429,2.5
Case, Sydnee Z.,1973-07-14,7787,3.8
Harrison, Daquan X.,1972-12-23,3909,2.9
Wilkins, Amber C.,1980-08-21,1163,3.6
Dorsey, Zelenia Q.,1976-06-15,1314,3.6
Dotson, Kieran T.,1983-11-01,7385,3.2
Moody, India L.,1972-07-07,8716,3.8
Warren, Amelia G.,1986-03-22,1333,3.5
Guthrie, Kibo Q.,1975-12-11,2844,3.1
Hendricks, Alea N.,1989-09-26,7929,3.9
Powell, Bryar N.,1979-09-30,4382,3.3
Stanley, Jade X.,1974-10-13,3396,3.5
Decker, Reese Z.,1983-06-14,4864,3.1
Buckley, Faith Y.,1984-08-28,2637,2.6
Golden, Nehru X.,1977-05-14,5689,2.1
Tucker, Sybill X.,1976-02-23,4809,3.9
Workman, Bianca F.,1987-02-04,9117,2.3
Stevenson, Kasper R.,1971-11-30,7980,2.8
Hinton, Karly J.,1983-02-13,3797,2.6
Hess, Marsden E.,1976-01-20,2535,3.3
Ford, Julie Z.,1983-04-23,1615,3.4
Jarvis, Serena R.,1973-10-22,2294,2
Osborne, Gwendolyn F.,1980-04-23,1094,3.3
Dale, Jennifer T.,1978-11-29,1592,3.1
Hogan, Irma R.,1975-09-19,9147,2.8
Wong, Blake C.,1983-04-19,9773,3.2
Gutierrez, Nissim G.,1973-05-15,4219,2.7
Wilkinson, Paloma R.,1972-11-26,6105,2.5
Montgomery, Donovan A.,1981-11-20,7004,3.9
Sullivan, Gareth T.,1975-08-21,7154,2.1
Newton, Raymond G.,1984-09-07,2183,2.4
Rivers, Josephine G.,1987-02-02,7224,3.7
Medina, Veronica R.,1973-03-14,4624,2.8
Black, James Y.,1988-09-29,9563,2.7
Henry, Derek B.,1974-02-25,6532,3
Mayer, Kadeem U.,1978-06-13,1794,3.8
Mann, Jolie B.,1979-11-11,6935,3.3
Norris, Kessie E.,1973-09-08,1054,4
Gilbert, Amena I.,1973-01-08,7713,2
Justice, Stephen J.,1981-04-10,7025,3.5
Fletcher, Breanna T.,1975-06-19,7443,3.5
Mann, Nigel C.,1984-04-04,1830,3.7
Mendez, Eleanor S.,1981-07-29,3037,2.9
Ortega, Ginger F.,1972-08-28,9694,2.1
Walsh, Halee S.,1986-06-27,9635,2.5
Gutierrez, Cally S.,1984-03-10,8388,3.6
Ramirez, Erasmus X.,1970-05-19,9688,3.1
Rivers, Oren P.,1986-10-10,6170,2.9
Wright, Melinda Z.,1978-10-03,6230,2.6
Tate, Unity W.,1986-08-16,2005,3.8
Wells, Indira A.,1978-01-11,1240,2.2
Sears, Drew J.,1978-08-28,2317,3.7
Key, Evan O.,1981-07-29,5245,2.6
Dalton, Odette Y.,1989-02-13,1388,3.5
Mitchell, Idona G.,1972-01-02,2095,2.5
Olsen, Odysseus U.,1971-09-11,1162,2.1
West, Darius R.,1981-07-15,2570,2.9
Russell, Walker V.,1977-03-27,8170,3
Herrera, Kylee I.,1975-05-25,2707,2.3
Christian, Kim D.,1985-07-02,6349,2.3
Whitley, Merritt D.,1977-06-22,4951,2.1
Reynolds, Jerome A.,1972-12-19,4241,3.7
Foreman, Yoko F.,1984-01-02,7431,3.1
Bates, Phoebe S.,1982-05-21,4250,2.9
Hartman, Oliver D.,1973-06-02,7315,3.9
Avila, Jolie J.,1975-11-11,6602,3.5
Barrett, Victoria X.,1987-10-16,9839,3.5
Preston, Molly Y.,1983-08-04,5392,3.7
Hayes, Kelsie A.,1979-07-04,8911,3.3
Evans, Vladimir D.,1970-05-09,3546,2.2
Marquez, Blair J.,1979-04-15,5596,2.3
Dawson, Guinevere J.,1970-03-04,5308,3.4
Heath, Graiden M.,1978-10-08,7981,3.2
